id,type
03138d87-59d6-4195-86fc-c02acdb3dc3a,Tráng miệng
29f72bdf-6cd5-44e6-87fc-662ab65d5027,Bánh ngọt
4264848d-2e17-49c9-ab45-fa0ba28673aa,Dạng lỏng (cháo/súp)
4812dd78-ddd7-4ac0-aeda-aaf0f0e4982e,Bánh mặn
67f5118d-584e-457c-8628-11ee0c3b94d1,Gia vị và nước chấm
8207dd68-dc15-4c3b-8585-8eed81806619,Cơm
9801fc29-f950-48b0-9e30-dc271824db9e,Biến tấu
b316528a-5d59-4725-94d0-6eb3b6c23014,Đồ uống
b80b73b6-5628-4160-8bdd-a4db45d7e5ca,Món thường ngày
cf5dd8cd-443c-4e7e-a35c-4fc9f6a99029,Món cuốn
daa7f39c-cec4-40af-ac6b-9144af2a8ece,Đặc sản địa phương
f16c8f84-d19a-4a37-bdff-d7c07c283b6b,Dạng sợi (bún/mì/phở)
f27da9a3-ef9f-42ec-bc23-64dd868be453,Xôi
