user,province,pool_size,found_in_cache,coverage_ratio
control.blank,Ho Chi Minh,463,0,0.0000
control.blank,An Giang,275,0,0.0000
control.blank,Lam Dong,316,0,0.0000
demo.culture,Ho Chi Minh,463,53,0.1145
demo.culture,An Giang,275,9,0.0327
demo.culture,Lam Dong,316,0,0.0000
demo.culture.heavy,Ho Chi Minh,463,56,0.1210
demo.culture.heavy,An Giang,275,9,0.0327
demo.culture.heavy,Lam Dong,316,1,0.0032
demo.nature,Ho Chi Minh,463,58,0.1253
demo.nature,An Giang,275,9,0.0327
demo.nature,Lam Dong,316,1,0.0032
